transaction_id,payment_method,bank_gateway,timestamp,amount,customer_id,customer_history,retry_count_so_far,failure_type,degradation_linked,ground_truth_recoverable,ground_truth_recovery_probability,ground_truth_recovery_probability_after_recovery
txn_1cf706e9cf,card,SecureBank Gateway,2026-08-08T01:13:00,1769.84,cust_11111,repeat,1,card_expired,False,True,0.2316,0.2316
txn_ac9a5cb59c,UPI,SecureBank Gateway,2026-08-08T02:19:00,2934.29,cust_11096,new,0,card_expired,False,True,0.097,0.097
txn_1515c86a6c,card,NationalPay Gateway,2026-08-08T06:39:00,2404.76,cust_11080,repeat,0,bank_decline,False,True,0.1566,0.1566
txn_92548689da,UPI,TrustBank Gateway,2026-08-08T15:24:00,1739.88,cust_11088,new,2,card_expired,False,True,0.0755,0.0755
txn_78cee32882,UPI,NationalPay Gateway,2026-08-08T20:47:00,1951.96,cust_11040,repeat,0,invoice_overdue,False,True,0.6618,0.6618
txn_1bea83f1e9,wallet,QuickPay Gateway,2026-08-08T21:13:00,321.93,cust_11126,repeat,1,customer_cancelled,False,False,0.0402,0.0402
txn_c1188904c0,wallet,NationalPay Gateway,2026-08-08T21:28:00,978.44,cust_11122,at_risk,3,invoice_overdue,False,True,0.5419,0.5419
txn_71055d4eb2,card,NationalPay Gateway,2026-08-09T03:07:00,752.31,cust_11015,repeat,0,cart_abandonment,False,True,0.3771,0.3771
txn_bd90788b06,netbanking,NationalPay Gateway,2026-08-09T04:26:00,617.35,cust_11105,at_risk,0,bank_decline,False,True,0.3976,0.3976
txn_4b19c81e55,netbanking,TrustBank Gateway,2026-08-09T05:28:00,389.76,cust_11007,high_value,0,insufficient_funds,False,True,0.4021,0.4021
txn_d02c2580d5,netbanking,TrustBank Gateway,2026-08-09T05:32:00,1568.28,cust_11042,new,2,otp_timeout,False,True,0.7068,0.7068
txn_ef26aab818,card,PayFast Gateway,2026-08-09T05:47:00,1460.47,cust_11023,new,2,customer_cancelled,False,False,0.0751,0.0751
txn_e831b76c7e,card,QuickPay Gateway,2026-08-09T14:16:00,8974.12,cust_11135,repeat,0,card_expired,False,True,0.1119,0.1119
txn_331a7f2e8f,wallet,SwiftBank Gateway,2026-08-09T17:00:00,963.84,cust_11130,new,0,insufficient_funds,False,True,0.2806,0.2806
txn_d9d58d8a83,UPI,QuickPay Gateway,2026-08-09T18:49:00,1766.05,cust_11109,repeat,2,invoice_overdue,False,True,0.5281,0.5281
txn_4eb6328905,card,PayFast Gateway,2026-08-09T18:53:00,2181.74,cust_11046,new,0,insufficient_funds,False,True,0.4511,0.4511
txn_503ae7eff4,card,PayFast Gateway,2026-08-09T21:59:00,369.15,cust_11006,new,3,insufficient_funds,False,True,0.3718,0.3718
txn_7e5f623a5c,UPI,TrustBank Gateway,2026-08-09T22:32:00,557.78,cust_11008,repeat,2,cart_abandonment,False,True,0.4599,0.4599
txn_b154fdaf8c,netbanking,QuickPay Gateway,2026-08-09T23:09:00,420.73,cust_11073,at_risk,3,cart_abandonment,False,True,0.5218,0.5218
txn_8e7f390f8d,card,TrustBank Gateway,2026-08-10T00:35:00,951.68,cust_11101,repeat,0,invoice_overdue,False,True,0.4618,0.4618
txn_a396989535,card,NationalPay Gateway,2026-08-10T00:45:00,4766.11,cust_11120,high_value,0,card_expired,False,True,0.1745,0.1745
txn_731543de14,wallet,PayFast Gateway,2026-08-10T01:33:00,284.54,cust_11059,new,3,card_expired,False,True,0.1177,0.1177
